period,product,price,log_price,normalized_price
2018-08-01,WTI Crude Oil,68.06,4.22038966907276,0.7410341378881685
2018-08-01,UK Brent Crude Oil,72.53,4.284000269375321,0.7653824809622083
2018-07-01,UK Brent Crude Oil,74.25,4.307437777682809,0.774353697871922
2018-07-01,WTI Crude Oil,70.98,4.2623981472183505,0.7571137980869729
2018-06-01,UK Brent Crude Oil,74.41,4.309590341409169,0.7751776385335234
2018-06-01,WTI Crude Oil,67.87,4.217594110715667,0.7399640770234975
2018-05-01,UK Brent Crude Oil,76.98,4.3435456478556,0.7881747718196332
2018-05-01,WTI Crude Oil,69.98,4.248209486939542,0.7516827792538505
2018-04-01,UK Brent Crude Oil,72.11,4.2781927309286685,0.7631595190998427
2018-04-01,WTI Crude Oil,66.25,4.193435464866331,0.7307168290090786
2018-03-01,UK Brent Crude Oil,66.02,4.189957726425047,0.7293856488553401
2018-03-01,WTI Crude Oil,62.73,4.138839802108651,0.7098191496780278
2018-02-01,UK Brent Crude Oil,65.32,4.179298268102264,0.7253055089573976
2018-02-01,WTI Crude Oil,62.23,4.130837198581126,0.7067559788346951
2018-01-01,UK Brent Crude Oil,69.08,4.235265253278478,0.7467280918195075
2018-01-01,WTI Crude Oil,63.7,4.154184562578117,0.7156926910456995
2017-12-01,UK Brent Crude Oil,64.37,4.164647686064525,0.7196976795077065
2017-12-01,WTI Crude Oil,57.88,4.058371901763283,0.6790183077627254
2017-11-01,WTI Crude Oil,56.64,4.036715449385464,0.6707288288118326
2017-11-01,UK Brent Crude Oil,62.71,4.138520924554929,0.709697092347336
2017-10-01,UK Brent Crude Oil,57.51,4.051958845725663,0.6765635708507279
2017-10-01,WTI Crude Oil,51.58,3.9431340004531985,0.6349084904856622
2017-09-01,UK Brent Crude Oil,56.15,4.0280266811844525,0.667403013491072
2017-09-01,WTI Crude Oil,49.82,3.9084165098340344,0.6216196146026417
2017-08-01,UK Brent Crude Oil,51.7,3.9454577815143836,0.6357979683122755
2017-08-01,WTI Crude Oil,48.04,3.872033997211783,0.6076934152740922
2017-07-01,UK Brent Crude Oil,48.48,3.881151341761059,0.6111832775290323
2017-07-01,WTI Crude Oil,46.63,3.8422441108202294,0.5962906872610221
2017-06-01,UK Brent Crude Oil,46.37,3.8366526984033693,0.5941504523450395
2017-06-01,WTI Crude Oil,45.18,3.810654511039857,0.5841990797401739
